date,gdp,inflation,unemployment,interest_rate
2020-01,2.3,2.1,3.6,1.75
2020-02,2.1,2.3,3.5,1.75
2020-03,-5.0,1.5,4.4,1.25
2020-04,-9.0,0.3,14.7,0.25
2020-05,-2.7,0.1,13.3,0.25
2020-06,3.4,0.7,11.1,0.25
2020-07,6.3,1.0,10.2,0.25
2020-08,4.1,1.3,8.4,0.25
2020-09,5.5,1.4,7.9,0.25
2020-10,3.7,1.2,6.9,0.25
2020-11,1.9,1.2,6.7,0.25
2020-12,4.5,1.4,6.7,0.25
2021-01,2.3,1.4,6.3,0.25
2021-02,1.7,1.7,6.2,0.25
2021-03,5.3,2.6,6.0,0.25
2021-04,6.3,4.2,6.1,0.25
2021-05,2.6,5.0,5.8,0.25
2021-06,6.7,5.4,5.9,0.25
2021-07,2.9,5.4,5.4,0.25
2021-08,3.3,5.3,5.2,0.25
2021-09,2.7,5.4,4.7,0.25
2021-10,6.0,6.2,4.5,0.25
2021-11,3.6,6.8,4.2,0.25
2021-12,5.3,7.0,3.9,0.25
2022-01,1.5,7.5,4.0,0.25
2022-02,-0.6,7.9,3.8,0.50
2022-03,3.5,8.5,3.6,0.75
2022-04,-1.6,8.3,3.6,1.00
2022-05,4.7,8.6,3.6,1.25
2022-06,1.5,9.1,3.6,1.50
2022-07,2.8,8.5,3.5,1.75
2022-08,1.7,8.3,3.7,2.00
2022-09,2.4,8.2,3.5,2.25
2022-10,3.3,7.7,3.7,2.75
2022-11,1.5,7.1,3.7,3.25
2022-12,0.9,6.5,3.5,3.50
2023-01,1.6,6.4,3.4,3.75
2023-02,0.9,6.0,3.6,4.00
2023-03,1.6,5.0,3.5,4.25
2023-04,3.2,4.9,3.4,4.50
2023-05,3.3,4.0,3.7,4.75
2023-06,2.9,3.0,3.6,5.00
